"UNIT NUMBER","total_predicted_cost","total_actual_cost","avg_repair_duration","work_order_count","last_service_date","strategy","estimated_savings"
"04B325233",1899.84016234944,2637.585466,36.6,5,9-09-24,"Monitor Closely",189.984016234944
"04B325235",892.298122196741,2275.835311,7.5,4,4-08-24,"Keep as-it is",0
"04B325236",3655.33172696465,4883.740819,48.3333333333333,12,12-04-24,"Monitor Closely",365.533172696465
"04B325238",4211.72745069141,3680.420378,90.8,10,12-02-24,"Monitor Closely",421.172745069141
"04B325245",5742.38825215342,2008.258023,0,13,10-11-24,"Monitor Closely",574.238825215342
"04B325249",2983.98029112089,2758.304355,47.2222222222222,9,11-04-24,"Monitor Closely",298.398029112089
"04B325257",6171.22993686707,5192.006399,38.8666666666667,15,10-03-24,"Monitor Closely",617.122993686707
"04B325258",3132.5972891839,2659.913113,20.9230769230769,13,8-06-24,"Monitor Closely",313.25972891839
"04B325259",1479.97976322531,1115.5498,0,5,6-10-24,"Keep as-it is",0
"04S600318",3283.01536369298,1781.170833,6.2,5,11-12-24,"Monitor Closely",328.301536369298
"04S600330",1629.03817833702,882.4,0,2,12-11-24,"Keep as-it is",0
"04S600338",1891.15005572539,367.43,0,6,10-07-24,"Keep as-it is",0
"05B325528",6180.1470398185,5248.351356,40.6666666666667,15,12-05-24,"Monitor Closely",618.01470398185
"05B325529",3433.48006259374,3326.684555,60.5,8,4-10-24,"Monitor Closely",343.348006259374
"05B325532",4559.60192107155,3079.108601,109.142857142857,14,11-05-24,"Monitor Closely",455.960192107156
"05B325537",2242.2456612768,1607.660599,15.25,8,9-04-24,"Keep as-it is",0
"05B325567",892.072181397946,1027.190067,31,2,2-07-24,"Monitor Closely",89.2072181397946
"05S332077",8579.73840530694,13694.862862,114,8,9-09-24,"Consider Replacement",2144.93460132674
"05S332121",2373.92224623131,2080.53038,6,10,11-04-24,"Keep as-it is",0
"05S332123",1119.74284773929,606.762328,0,4,12-11-24,"Keep as-it is",0
"05S332126",1206.67423644388,916.725,0,2,8-02-24,"Keep as-it is",0
"05S332137",2858.1922096542,3515.617156,4.42857142857143,7,12-04-24,"Keep as-it is",0
"05S382325",777.057653349218,861.4570170325,42.2,5,10-01-24,"Monitor Closely",77.7057653349218
"06B325559",6901.75065032119,9295.541189,183.928571428571,14,11-06-24,"Consider Replacement",1725.4376625803
"06B325560",2082.42751542459,4181.918002,140,7,9-03-24,"Monitor Closely",208.242751542459
"06B325569",4426.62716142632,2399.47,0,8,11-07-24,"Monitor Closely",442.662716142632
"06B325571",1393.25552393946,707.385111,53.5,4,12-04-24,"Monitor Closely",139.325552393946
"06B325573",4591.69540789162,2982.733666,8.13333333333334,15,12-05-24,"Monitor Closely",459.169540789162
"06B325574",2361.70086484921,2053.04171,0,9,11-01-24,"Keep as-it is",0
"06B325575",3474.8942126783,3395.333955,0,9,12-12-24,"Monitor Closely",347.48942126783
"06B325650",3774.23629945067,2883.802577,182.090909090909,11,7-10-24,"Monitor Closely",377.423629945067
"06B325654",4481.97316988702,5937.715043,53.5,12,11-01-24,"Monitor Closely",448.197316988702
"06B325657",4845.08342292933,4407.59571,15.3571428571429,14,10-04-24,"Monitor Closely",484.508342292933
"06B325803",4912.24110379464,7163.450647,15.3,10,12-05-24,"Monitor Closely",491.224110379464
"06B332073",219.52274777196,238.875,0,1,3-06-24,"Keep as-it is",0
"06B332102",510.058185446809,271.1,0,1,1-11-24,"Keep as-it is",0
"06B332103",4704.07318523134,4731.716826,0,7,12-11-24,"Monitor Closely",470.407318523135
"06B332107",606.705650922413,226.075,0,1,1-04-24,"Keep as-it is",0
"06B382436",2331.85796193725,365.13784421,38,4,11-07-24,"Monitor Closely",233.185796193725
"06K518896",3190.88680112839,2363.58916,10.1666666666667,12,10-09-24,"Monitor Closely",319.088680112839
"06S325613",940.341553572289,1271.003311,10.3333333333333,3,4-08-24,"Keep as-it is",0
"06S325630",276.815801528388,456.6148,0,1,2-01-24,"Keep as-it is",0
"06S325634",1290.47556853569,1409.735445,30,4,4-08-24,"Monitor Closely",129.047556853569
"06S669180",2046.0117389437,2357.569406,30.6666666666667,6,12-12-24,"Monitor Closely",204.60117389437
"06S669182",4202.79914923533,3211.602224,17,7,12-05-24,"Monitor Closely",420.279914923534
"07B325805",1559.02475927867,1032.937111,0,6,12-06-24,"Keep as-it is",0
"07B325808",2570.0714943966,3893.173379,24.2,5,12-09-24,"Monitor Closely",257.00714943966
"07B325816",1230.35035198179,1176.071089,61.3333333333333,3,7-05-24,"Monitor Closely",123.035035198179
"07B610539",1783.06225632575,1707.079645,0,2,7-01-24,"Keep as-it is",0
"07B610540",5757.3357597552,6842.339398,236.230769230769,13,12-02-24,"Consider Replacement",1439.3339399388
"07B610544",3138.38231824057,3986.51169,34.2222222222222,9,8-01-24,"Monitor Closely",313.838231824057
"07B610547",4408.06826146847,8675.937156,47.5555555555556,9,8-12-24,"Monitor Closely",440.806826146847
"07B610548",2179.63775280651,601.714633,184,2,10-03-24,"Monitor Closely",217.963775280651
